,Neighborhood,GarageType,GarageYrBlt
0,Blmngtn,Attchd,2005.0
1,Blueste,Attchd,1980.0
2,BrDale,Attchd,1971.0
3,BrDale,Detchd,1972.0
4,BrDale,NA,
5,BrkSide,Attchd,1939.0
6,BrkSide,BuiltIn,1929.0
7,BrkSide,Detchd,1946.0
8,BrkSide,NA,
9,ClearCr,Attchd,1968.0
10,ClearCr,BuiltIn,1958.0
11,ClearCr,Detchd,1950.0
12,CollgCr,Attchd,2002.0
13,CollgCr,BuiltIn,2004.0
14,CollgCr,Detchd,1981.0
15,CollgCr,NA,
16,Crawfor,2Types,1949.0
17,Crawfor,Attchd,1957.0
18,Crawfor,Basment,1938.0
19,Crawfor,BuiltIn,1982.0
20,Crawfor,Detchd,1926.0
21,Edwards,Attchd,1958.0
22,Edwards,Basment,1982.0
23,Edwards,BuiltIn,2003.0
24,Edwards,Detchd,1957.0
25,Edwards,NA,
26,Gilbert,Attchd,2000.0
27,Gilbert,Basment,1988.0
28,Gilbert,BuiltIn,2002.0
29,Gilbert,Detchd,1951.0
30,IDOTRR,Attchd,1940.0
31,IDOTRR,CarPort,1978.0
32,IDOTRR,Detchd,1957.0
33,IDOTRR,NA,
34,MeadowV,Attchd,1972.0
35,MeadowV,NA,
36,Mitchel,2Types,1982.0
37,Mitchel,Attchd,1982.0
38,Mitchel,BuiltIn,2001.0
39,Mitchel,Detchd,1986.0
40,Mitchel,NA,
41,NAmes,2Types,1998.0
42,NAmes,Attchd,1960.0
43,NAmes,Basment,1958.0
44,NAmes,BuiltIn,1958.0
45,NAmes,CarPort,1958.0
46,NAmes,Detchd,1968.0
47,NAmes,NA,
48,NPkVill,Attchd,1977.0
49,NPkVill,Detchd,1976.0
50,NWAmes,Attchd,1976.0
51,NWAmes,BuiltIn,1989.0
52,NWAmes,Detchd,1974.0
53,NoRidge,Attchd,1994.0
54,NoRidge,BuiltIn,2000.0
55,NridgHt,Attchd,2006.0
56,NridgHt,BuiltIn,2005.0
57,OldTown,2Types,1920.0
58,OldTown,Attchd,1946.0
59,OldTown,BuiltIn,1954.0
60,OldTown,CarPort,1920.0
61,OldTown,Detchd,1948.0
62,OldTown,NA,
63,SWISU,Attchd,1940.0
64,SWISU,Basment,1970.0
65,SWISU,BuiltIn,1998.0
66,SWISU,Detchd,1936.0
67,SWISU,NA,
68,Sawyer,Attchd,1968.0
69,Sawyer,Basment,1975.0
70,Sawyer,BuiltIn,1968.0
71,Sawyer,CarPort,1968.0
72,Sawyer,Detchd,1974.0
73,Sawyer,NA,
74,SawyerW,Attchd,1992.0
75,SawyerW,BuiltIn,1994.0
76,SawyerW,Detchd,1979.0
77,SawyerW,NA,
78,Somerst,Attchd,2006.0
79,Somerst,BuiltIn,2007.0
80,Somerst,Detchd,2000.0
81,StoneBr,Attchd,2000.0
82,StoneBr,BuiltIn,2005.0
83,Timber,Attchd,2002.0
84,Timber,Basment,1958.0
85,Timber,BuiltIn,2006.0
86,Timber,Detchd,1966.0
87,Veenker,Attchd,1978.0
