HomePlanet,CryoSleep,VIP,Age Interval,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck
Earth,False,False,0-6,0.0,0.0,0.0,0.0,0.0
Earth,False,False,6-12,0.0,0.0,0.0,0.0,0.0
Earth,False,False,12-18,184.74683544303798,269.24583333333334,244.1694214876033,207.5481171548117,205.96218487394958
Earth,False,False,18-24,218.5260989010989,177.89133425034387,213.46502057613168,234.78242677824267,206.04861111111111
Earth,False,False,24-30,210.34854771784234,228.06932773109244,222.989604989605,216.2,236.4214876033058
Earth,False,False,30-36,271.688,284.376,161.13306451612902,214.45267489711935,221.74308300395256
Earth,False,False,36-42,247.76666666666668,235.58649789029536,171.89166666666668,211.81327800829877,228.46666666666667
Earth,False,False,42-48,231.1476510067114,180.10738255033556,212.97333333333333,290.7880794701987,217.44
Earth,False,False,48-54,201.24545454545455,288.7798165137615,157.981981981982,240.23893805309734,274.7155963302752
Earth,False,False,54-60,201.92957746478874,304.49295774647885,134.94594594594594,193.375,204.42857142857142
Earth,False,False,60-66,201.93478260869566,234.8,231.25,221.52173913043478,240.88372093023256
Earth,False,False,66-72,215.91666666666666,364.5,359.0,75.41666666666667,174.83333333333334
Earth,False,False,72-78,300.22222222222223,85.75,300.55555555555554,568.0,346.3333333333333
Earth,False,False,78-84,203.33333333333334,106.5,67.33333333333333,309.6666666666667,3.0
Earth,False,False,84+,,,,,
Earth,False,True,0-6,,,,,
Earth,False,True,6-12,,,,,
Earth,False,True,12-18,,,,,
Earth,False,True,18-24,,,,,
Earth,False,True,24-30,,,,,
Earth,False,True,30-36,,,,,
Earth,False,True,36-42,,,,,
Earth,False,True,42-48,,,,,
Earth,False,True,48-54,,,,,
Earth,False,True,54-60,,,,,
Earth,False,True,60-66,,,,,
Earth,False,True,66-72,,,,,
Earth,False,True,72-78,,,,,
Earth,False,True,78-84,,,,,
Earth,False,True,84+,,,,,
Earth,True,False,0-6,0.0,0.0,0.0,0.0,0.0
Earth,True,False,6-12,0.0,0.0,0.0,0.0,0.0
Earth,True,False,12-18,0.0,0.0,0.0,0.0,0.0
Earth,True,False,18-24,0.0,0.0,0.0,0.0,0.0
Earth,True,False,24-30,0.0,0.0,0.0,0.0,0.0
Earth,True,False,30-36,0.0,0.0,0.0,0.0,0.0
Earth,True,False,36-42,0.0,0.0,0.0,0.0,0.0
Earth,True,False,42-48,0.0,0.0,0.0,0.0,0.0
Earth,True,False,48-54,0.0,0.0,0.0,0.0,0.0
Earth,True,False,54-60,0.0,0.0,0.0,0.0,0.0
Earth,True,False,60-66,0.0,0.0,0.0,0.0,0.0
Earth,True,False,66-72,0.0,0.0,0.0,0.0,0.0
Earth,True,False,72-78,,,,,
Earth,True,False,78-84,0.0,0.0,0.0,0.0,0.0
Earth,True,False,84+,,,,,
Earth,True,True,0-6,,,,,
Earth,True,True,6-12,,,,,
Earth,True,True,12-18,,,,,
Earth,True,True,18-24,,,,,
Earth,True,True,24-30,,,,,
Earth,True,True,30-36,,,,,
Earth,True,True,36-42,,,,,
Earth,True,True,42-48,,,,,
Earth,True,True,48-54,,,,,
Earth,True,True,54-60,,,,,
Earth,True,True,60-66,,,,,
Earth,True,True,66-72,,,,,
Earth,True,True,72-78,,,,,
Earth,True,True,78-84,,,,,
Earth,True,True,84+,,,,,
Europa,False,False,0-6,0.0,0.0,0.0,0.0,0.0
Europa,False,False,6-12,0.0,0.0,0.0,0.0,0.0
Europa,False,False,12-18,121.21428571428571,1589.0,2578.1428571428573,1736.9166666666667,1285.7857142857142
